3919062 reads of which  0.257337342456% dirties
7826250 reads of which  0.256770739498% dirties
11730784 reads of which  0.257956160475% dirties
15634143 reads of which  0.257036858368% dirties
19530216 reads of which  0.255222727695% dirties
23413891 reads of which  0.254040304535% dirties
27296457 reads of which  0.252102937755% dirties
31177108 reads of which  0.250483207102% dirties
35057898 reads of which  0.249300000816% dirties
38939376 reads of which  0.249234861904% dirties
42823042 reads of which  0.249175152013% dirties
46705003 reads of which  0.248845075548% dirties
50585413 reads of which  0.249137137617% dirties
54465706 reads of which  0.249516732602% dirties
58346693 reads of which  0.249889329632% dirties
62228794 reads of which  0.249364321603% dirties
66109216 reads of which  0.249037683339% dirties
69990314 reads of which  0.248385683768% dirties
73869331 reads of which  0.24735377663% dirties
77747595 reads of which  0.246174315746% dirties
81626190 reads of which  0.245231181316% dirties
85504081 reads of which  0.24458610344% dirties
89381984 reads of which  0.243883051421% dirties
93261110 reads of which  0.242972317186% dirties
97140452 reads of which  0.242244281507% dirties
101019048 reads of which  0.241567154741% dirties
104896683 reads of which  0.241031939971% dirties
108774569 reads of which  0.240385333083% dirties
112651693 reads of which  0.23986023894% dirties
116530543 reads of which  0.239463391156% dirties
120409791 reads of which  0.238864163463% dirties
124287959 reads of which  0.238225828457% dirties
128165427 reads of which  0.237681406859% dirties
132043110 reads of which  0.237322348739% dirties
135922889 reads of which  0.236946324765% dirties
139801062 reads of which  0.236440671674% dirties
143677585 reads of which  0.235860938225% dirties
147553620 reads of which  0.235290404939% dirties
151429246 reads of which  0.234533664653% dirties
155304320 reads of which  0.233727612986% dirties
159179502 reads of which  0.232910334146% dirties
163053095 reads of which  0.232101432972% dirties
166926542 reads of which  0.231538217571% dirties
170799737 reads of which  0.231143804396% dirties
174675380 reads of which  0.230742197326% dirties
178549890 reads of which  0.230238366431% dirties
182423787 reads of which  0.229656886796% dirties
186297090 reads of which  0.229112226069% dirties
190168215 reads of which  0.228541325899% dirties
194036709 reads of which  0.227965291866% dirties
197898730 reads of which  0.227461303061% dirties
201760004 reads of which  0.226909531584% dirties
205620925 reads of which  0.226544735172% dirties
209483703 reads of which  0.225974304073% dirties
213345014 reads of which  0.225492028607% dirties
217206260 reads of which  0.225002028026% dirties
221067106 reads of which  0.22456434111% dirties
224927525 reads of which  0.224094138768% dirties
228787440 reads of which  0.223645423892% dirties
232647987 reads of which  0.223236519988% dirties
236507491 reads of which  0.222860949466% dirties
240369338 reads of which  0.222335441969% dirties
244229673 reads of which  0.221796038682% dirties
248089562 reads of which  0.221177342399% dirties
251948556 reads of which  0.220661403592% dirties
255807757 reads of which  0.220161103246% dirties
259667516 reads of which  0.219609575654% dirties
263526548 reads of which  0.219062327641% dirties
267385192 reads of which  0.218523021275% dirties
271245505 reads of which  0.218051650294% dirties
275105176 reads of which  0.217595836874% dirties
278964664 reads of which  0.217235491876% dirties
282825213 reads of which  0.216851409213% dirties
286683006 reads of which  0.216408596609% dirties
290539894 reads of which  0.21599452363% dirties
294395682 reads of which  0.215604045442% dirties
298251464 reads of which  0.215243925844% dirties
302110028 reads of which  0.214708576307% dirties
305966006 reads of which  0.214192304749% dirties
309822417 reads of which  0.213647151943% dirties
313677906 reads of which  0.213125590682% dirties
317534836 reads of which  0.212566749684% dirties
321390599 reads of which  0.211977065328% dirties
325245608 reads of which  0.211372117898% dirties
329100699 reads of which  0.210841411795% dirties
332955982 reads of which  0.210313214916% dirties
336810027 reads of which  0.209688261448% dirties
340663717 reads of which  0.209066244645% dirties
344516531 reads of which  0.208441931049% dirties
