,len,non,rate,snp_freq,stop,syn
bin_7_00001,1341,0,0.991761138846738,0.01715137956748695,False,23
bin_7_00002,1473,10,0.990435044253133,0.03394433129667346,False,40
bin_7_00003,1146,5,0.98519715309017797,0.04101221640488656,False,42
bin_7_00004,1221,0,0.99514268619616808,0.002457002457002457,False,3
bin_7_00005,2133,42,0.99014397939271226,0.030473511486169714,True,23
bin_7_00006,945,2,0.99405917270827915,0.009523809523809525,True,7
bin_7_00007,576,5,0.98606357990509708,0.0642361111111111,False,32
bin_7_00008,450,1,0.99238450652447419,0.022222222222222223,False,9
bin_7_00009,345,1,0.9959777384514924,0.002898550724637681,False,0
bin_7_00010,633,0,0.99673171099637647,0.0,False,0
bin_7_00011,480,1,0.9915452821868711,0.022916666666666665,False,10
bin_7_00012,1113,0,0.9947471856040232,0.0,False,0
bin_7_00013,771,0,0.99540007295117749,0.0,False,0
bin_7_00014,1362,5,0.99298592221994508,0.019823788546255508,False,22
bin_7_00015,1230,0,0.99530037744509203,0.0,False,0
bin_7_00016,1161,3,0.99313409416158493,0.0103359173126615,False,9
bin_7_00017,1233,3,0.99371107770358003,0.0032441200324412004,False,1
bin_7_00018,405,0,0.99457227256132363,0.0,False,0
bin_7_00019,822,5,0.99332264072658716,0.029197080291970802,False,19
bin_7_00020,330,6,0.98940940119741205,0.08787878787878788,False,23
bin_7_00021,327,1,0.99106930451084496,0.01529051987767584,False,4
bin_7_00022,576,9,0.97731078264239579,0.09895833333333333,False,48
bin_7_00023,450,11,0.98880784431065594,0.07333333333333333,False,22
bin_7_00024,345,1,0.99526169396927666,0.002898550724637681,False,0
bin_7_00025,633,0,0.99571957033051772,0.0,False,0
bin_7_00026,480,4,0.98736811361479127,0.041666666666666664,False,16
bin_7_00027,1113,8,0.98815164421047252,0.0664869721473495,False,66
bin_7_00028,771,6,0.98923040345305546,0.07522697795071336,False,52
bin_7_00029,1353,7,0.99183488812526377,0.04434589800443459,False,53
bin_7_00030,1230,8,0.99164155074725779,0.04390243902439024,False,46
